ID	Name	Name_ctd	RA	Dec	N1p5	N1	z1p5	z1	zBCG	sigma2001p5	err_sigma2001p5	sigma2001	err_sigma2001	Mdyn1p5	err_Mdyn1p5	Mdyn1	err_Mdyn1	MSZ	err_MSZ	Flag	Dataset	PSZ_other	Beyond_PSZ2
1518	PSZ2	G322.77+59.52	13:31:07.45	−01:51:01.5	125	76	0.086	0.086	-	789	58	753	55	0.34	0.04	0.30	0.05	0.32	0.02	1	SDSS	0	0
1522	PSZ2	G323.39+81.61	13:03:46.59	+19:16:17.5	91	68	0.064	0.064	0.0635	768	62	784	61	0.32	0.04	0.34	0.06	0.17	0.02	1	SDSS	0	0
1557	PSZ2	G331.12+62.31	13:42:09.64	+02:13:38.0	96	72	0.077	0.077	0.0777	795	63	820	62	0.35	0.04	0.38	0.06	0.23	0.02	1	SDSS	0	0
1584	PSZ2	G339.47+63.56	13:53:06.40	+05:08:59.1	102	79	0.079	0.079	0.0788	707	55	714	51	0.25	0.03	0.26	0.04	0.23	0.03	1	SDSS	0	0
1589	PSZ2	G340.36+60.58	14:01:02.07	+02:52:42.5	13	9	0.251	0.252	0.2520	909	171	697	156	0.49	0.30	0.26	0.21	0.97	0.04	1	SDSS	0	0
1606	PSZ2	G343.46+52.65	14:24:21.93	−02:43:56.4	20	16	0.711	0.710	-	741	113	723	118	0.20	0.09	0.19	0.10	0.76	0.09	1	LP15	0	0
1625	PSZ2	G349.12+67.62	13:56:20.43	+10:47:24.2	7	-	0.237	-	0.2410	1224	321	-	-	1.25	1.27	-	-	0.36	0.05	2	SDSS	0	0
1626	PSZ2	G349.18+38.66	15:11:40.98	−11:11:28.8	24	24	0.109	0.109	0.1080	506	68	506	68	0.11	0.04	0.11	0.04	0.28	0.04	0	LP15	0	0
1637	PSZ2	G355.50+54.72	14:40:42.71	+03:27:55.5	91	90	0.027	0.027	0.0274	459	31	455	30	0.08	0.01	0.08	0.01	0.10	0.02	0	SDSS	0	0
1639	PSZ2	G356.05+70.99	13:54:02.97	+14:54:40.5	34	23	0.126	0.127	0.1268	574	68	602	81	0.14	0.04	0.17	0.06	0.27	0.03	1	SDSS	0	0
Beyond1	PSZ2	G032.12_14.96	19:43:11.20 	_07:24:56.3	10	8	0.378	0.378	0.3775	522	113	535	128	0.11	0.08	0.12	0.11	-	-	-	ITP13	0	1
Beyond2	PSZ2	G037.48+71.52	14:14:34.57	+27:08:35.6	17	10	0.161	0.162	-	621	102	499	105	0.18	0.09	0.11	0.08	-	-	-	SDSS	0	1
Beyond3	PSZ2	G039.34+73.28	14:07:32.82	+27:47:58.3	10	8	0.165	0.164	-	634	137	608	145	0.20	0.15	0.19	0.17	-	-	-	SDSS	0	1
Beyond4	PSZ2	G042.54+18.02	18:02:56.84	+16:21:52.6	8	-	0.258	-	-	414	101	-	-	0.06	0.06	-	-	-	-	-	LP15	0	1
Beyond5	PSZ2	G047.48+37.37	16:50:20.41	+26:58:21.4	10	8	0.230	0.230	0.2318	599	129	494	118	0.17	0.13	0.11	0.10	-	-	-	ITP13	0	1
Beyond6	PSZ2	G065.45+78.10	13:39:00.65	+32:58:12.0	7	-	0.486	-	-	1123	295	-	-	0.84	0.86	-	-	-	-	-	SDSS	0	1
Beyond7	PSZ2	G066.59_58.51	23:07:11.28	_07:31:43.6	17	17	0.334	0.334	0.3339	537	88	523	83	0.11	0.05	0.10	0.05	-	-	-	LP15	0	1
Beyond8	PSZ2	G071.82_56.55	23:09:35.43	_04:09:41.8	18	15	0.818	0.817	-	460	74	435	74	0.05	0.02	0.05	0.02	-	-	-	LP15	0	1
Beyond9	PSZ2	G081.60+18.47	19:07:18.13	+51:05:16.4	20	18	0.518	0.518	0.5196	622	95	614	94	0.14	0.06	0.14	0.06	-	-	-	LP15	0	1
Beyond10	PSZ2	G086.28+74.76	13:38:38.18	+38:52:19.7	20	10	0.246	0.246	-	777	118	650	137	0.31	0.13	0.21	0.16	-	-	-	LP15	0	1
Beyond11	PSZ2	G106.61+66.71	13:30:29.46	+49:08:47.8	16	13	0.332	0.332	0.3314	565	96	580	106	0.13	0.07	0.14	0.08	-	-	-	SDSS	0	1
Beyond12	PSZ2	G120.76+44.14	13:13:26.93	+72:55:36.3	12	10	0.362	0.361	-	621	122	616	130	0.17	0.11	0.17	0.13	-	-	-	LP15	0	1
Beyond13	PSZ2	G120.76+44.14	13:12:47.55	+72:50:49.2	20	-	0.572	-	-	532	81	-	-	0.09	0.04	-	-	-	-	-	LP15	0	1
Beyond14	PSZ2	G121.13+49.64	13:03:10.43	+67:25:33.0	14	11	0.105	0.105	-	500	91	507	101	0.11	0.06	0.11	0.08	-	-	-	SDSS	0	1
Beyond15	PSZ2	G136.02_47.15	01:28:23.61	+14:41:13.6	8	8	0.466	0.466	0.4648	519	126	506	121	0.10	0.09	0.10	0.09	-	-	-	LP15	0	1
Beyond16	PSZ2	G137.24+53.93	11:40:59.55	+61:07:07.2	22	17	0.475	0.476	0.4769	1281	186	814	129	1.02	0.41	0.31	0.15	-	-	-	LP15	0	1
Beyond17	PSZ2	G141.59+23.69	06:23:55.16	+72:50:15.7	14	11	0.306	0.306	0.3071	409	74	418	84	0.05	0.03	0.06	0.04	-	-	-	ITP13	0	1
Beyond18	PSZ2	G146.16_48.92	01:52:40.95	+11:14:31.2	14	9	0.491	0.491	0.4914	384	70	416	93	0.04	0.02	0.05	0.04	-	-	-	LP15	0	1
Beyond19	PSZ2	G171.48+16.17	06:37:45.46	+43:49:35.0	9	-	0.247	-	-	421	94	-	-	0.07	0.05	-	-	-	-	-	LP15	0	1
Beyond20	PSZ2	G180.60+76.65	11:57:53.05	+33:40:58.7	30	25	0.080	0.080	-	447	56	463	60	0.08	0.02	0.08	0.03	-	-	-	SDSS	0	1
Beyond21	PSZ2	G183.92+16.36	07:01:34.28	+32:52:24.3	10	10	0.194	0.194	-	505	107	505	107	0.11	0.08	0.11	0.08	-	-	-	LP15	0	1
Beyond22	PSZ2	G213.27+78.38	11:58:46.26	+26:27:03.2	14	-	0.138	-	-	492	89	-	-	0.10	0.06	-	-	-	-	-	SDSS	0	1
Beyond23	PSZ2	G219.88+22.83	08:25:37.54	+04:29:18.3	40	26	0.102	0.103	-	766	85	597	76	0.32	0.08	0.16	0.06	-	-	-	SDSS	0	1
Beyond24	PSZ2	G220.11+22.91	08:26:01.69	+04:19:03.5	15	12	0.475	0.476	-	1096	192	1042	199	0.69	0.37	0.62	0.40	-	-	-	SDSS	0	1
Beyond25	PSZ2	G328.96+71.97	13:23:02.10	+11:01:32.1	75	35	0.091	0.091	0.0937	813	71	855	93	0.37	0.06	0.43	0.12	-	-	-	LP15	0	1
Beyond26	PSZ2	G341.69+50.67	14:25:12.30	_04:56:34.2	19	-	0.293	-	0.2913	449	70	-	-	0.07	0.03	-	-	-	-	-	ITP13	0	1
